room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
9070008,43532519,Entire home/apt,,2,3,5,,4,499,3,21.557985,-157.858279,05:37.5
8012810,806147,Entire home/apt,,4,0,,4,0,200,2,21.28499,-157.837718,05:24.2
7131499,29299960,Entire home/apt,,4,0,,2,0,165,1,21.285565,-157.830517,05:22.0
10057872,34884725,Shared room,,4,1,5,1,1,68,1,21.290922,-157.693209,05:17.3
2496300,12370863,Entire home/apt,,4,55,4.5,2,0,99,2,21.275409,-157.823681,05:13.7
9190278,35495094,Private room,,1,2,5,1,1,72,1,21.310029,-158.022529,05:09.9
10225446,41213498,Entire home/apt,,5,10,5,2,0,89,2,21.313129,-157.808379,05:05.9
1629131,8658747,Private room,,2,23,5,2,1,150,3,21.667158,-158.045818,04:55.3
2537355,12992020,Entire home/apt,,4,14,4.5,4,0,175,3,21.278339,-157.82445,04:49.1
9478604,34010242,Entire home/apt,,5,0,,,3,295,3,21.288943,-157.798216,04:46.7
3934249,20384814,Private room,,4,35,5,2,1,99,3,21.272512,-157.821756,04:42.8
1163638,6372673,Entire home/apt,,2,5,3.5,4,2,215,3,21.456412,-157.83224,04:37.7
4403526,15274083,Entire home/apt,,4,0,,2,0,135,7,21.283543,-157.831233,04:32.1
5078489,2059676,Entire home/apt,,3,21,5,2,1,295,4,21.415425,-157.745856,04:20.2
6665566,33380091,Entire home/apt,,4,0,,2,1,210,1,21.275688,-157.820857,04:13.4
9958241,34884725,Shared room,,4,3,5,2,1,68,1,21.270776,-157.810418,04:00.9
6540566,22814906,Private room,,4,0,,2,1,250,3,21.281345,-157.735856,03:51.8
1098226,4350586,Entire home/apt,,4,86,4,3,1,110,1,21.275441,-157.813422,50:58.3
669834,2456676,Entire home/apt,,5,30,4,2,0,109,4,21.287865,-157.831446,50:55.3
8509216,3314241,Private room,,5,2,5,2,1,65,2,21.286585,-157.801589,50:42.5
9526671,19991070,Entire home/apt,,4,13,5,4,1,124,2,21.280371,-157.826064,50:34.5
7973172,42075860,Private room,,4,15,4.5,3,1,89,2,21.292781,-157.790316,50:28.6
7251335,4394268,Entire home/apt,,2,21,5,,2,195,1,21.648096,-157.917479,50:25.1
10553323,54430841,Entire home/apt,,4,4,4.5,4,0,92,1,21.280235,-157.827316,50:21.5
6436751,4924583,Entire home/apt,,5,21,4.5,2,1,130,2,21.283011,-157.826002,50:14.4
6116855,25647587,Entire home/apt,,4,40,4.5,2,0,120,1,21.272569,-157.82202,50:06.4
8160722,43073326,Private room,,4,2,5,2,1,119,1,21.287418,-157.837637,50:03.9
952205,2709332,Entire home/apt,,4,27,4,4,2,168,3,21.274531,-157.812623,50:00.2
8034354,706371,Entire home/apt,,4,0,,4,1,199,3,21.289227,-157.840111,49:49.6
4277251,22204814,Entire home/apt,,1,11,5,3,1,135,7,21.458643,-158.201978,49:45.2
4068204,7181802,Entire home/apt,,2,44,5,3,2,130,3,21.577483,-157.892732,49:42.9
1006988,3416690,Private room,,1,4,4,2,1,80,1,21.44061,-158.15508,49:26.6
5957976,8900546,Entire home/apt,,4,29,4.5,3,0,120,2,21.28623,-157.833264,49:22.2
6953063,36382633,Entire home/apt,,4,15,4,4,0,119,2,21.277412,-157.823077,49:16.6
5387397,27762880,Entire home/apt,,2,1,4,,4,400,1,21.582685,-158.125495,49:12.6
7970930,42060615,Entire home/apt,,1,0,,2,0,189,7,21.33087,-158.120067,49:06.8
3441926,6152329,Entire home/apt,,4,2,5,2,2,375,5,21.284716,-157.837957,49:03.6
9152937,1191923,Entire home/apt,,2,0,,,4,525,4,21.662994,-157.933053,48:59.7
3586725,2759082,Entire home/apt,,4,71,4.5,2,0,188,3,21.287451,-157.8382,48:55.6
2263918,4519627,Entire home/apt,,2,0,,2,1,230,4,21.646563,-158.039008,48:50.4
6824061,35744520,Entire home/apt,,2,31,4.5,2,1,60,3,21.555648,-158.11735,48:47.3
9846703,47589163,Private room,,1,5,4.5,1,1,55,1,21.356471,-158.093542,48:43.9
5221625,12518090,Entire home/apt,,2,8,4.5,,4,225,1,21.64674,-157.919878,48:40.1
620602,90563,Entire home/apt,,2,1,4,,4,1200,7,21.657595,-158.058388,48:33.1
8416947,21088887,Entire home/apt,,4,9,4,2,0,89,1,21.276674,-157.82261,48:26.0
9611019,49363174,Entire home/apt,,4,3,4.5,,3,375,1,21.301258,-157.701585,48:19.1
8240317,17619881,Entire home/apt,,2,2,3.5,4,1,105,2,21.652376,-157.928958,48:14.0
3458562,10496350,Entire home/apt,,4,0,,,3,1200,14,21.29542,-157.682926,48:04.2
6665553,33380091,Entire home/apt,,4,0,,6,1,150,,21.275751,-157.821694,48:01.9
8271736,34024330,Entire home/apt,,4,1,4,4,1,182,3,21.283911,-157.837571,47:54.7
9735286,50014565,Private room,,1,8,5,2,1,79,1,21.473626,-158.216428,47:50.7
8764703,14596681,Entire home/apt,,4,2,5,5,3,295,3,21.269605,-157.8104,47:46.6
5524662,28650556,Private room,,3,51,5,2,1,80,2,21.385454,-157.726832,47:43.5
4980012,2349948,Entire home/apt,,4,38,4.5,2,0,95,2,21.274721,-157.823747,47:35.4
8781258,46027356,Entire home/apt,,5,3,5,,3,350,4,21.307251,-157.819256,47:20.2
